#separator:tab
#html:false
#notetype:Basic
#deck:BBH Chapter 21 — Qal Infinitive Absolute
#tags column:3

שָׁמ֣וֹר	Qal IA · שמר · Strong A · "surely keep" — qamets R1 + holem-waw R2; contrast IC שְׁמֹר (shewa R1)	ia Strong-A bbh-ch21
זָכ֕וֹר	Qal IA · זכר · Strong A · Imperatival — "Remember!" (Exo 20:8); no paired finite verb; IA as stand-alone command	ia Strong-A ia-imperatival bbh-ch21
אָבֹ֖ד	Qal IA · אבד · Strong A · Emphatic — "utterly perish"; Deuteronomy threat formula	ia Strong-A ia-emphatic bbh-ch21
גָּאֹ֖ל	Qal IA · גאל · Strong A · Emphatic — "surely redeem"; Leviticus legal formula	ia Strong-A ia-emphatic bbh-ch21
שָׁמ֣וֹעַ	Qal IA · שמע · Strong B (gutt. R3) · Emphatic — "hear attentively"; qamets + holem-waw + patach before ע	ia Strong-B ia-emphatic bbh-ch21
שָׁכֹ֤חַ	Qal IA · שכח · Strong B (gutt. R3) · Emphatic — "ever forget" (Deu 8:19); patach before ח at R3	ia Strong-B ia-emphatic bbh-ch21
שָׁמ֣וֹר vs. שָׁמ֣וֹעַ	IA contrast: שמר (A-class) = שָׁמ֣וֹר; שמע (B-class gutt.) = שָׁמ֣וֹעַ — B-class adds patach before gutt. R3	ia Strong-A Strong-B ia-contrast bbh-ch21
רָאֹ֣ה	Qal IA · ראה · III-ה · Emphatic — "surely seen" (Exo 3:7); ה retained in IA; contrast IC: רְאוֹת (holem-waw + taw)	ia III-he ia-emphatic bbh-ch21
עָשׂ֑וֹה	Qal IA · עשה · III-ה + I-gutt. · Emphatic — "surely do"; ה retained; chateph under ע	ia III-he I-gutt ia-emphatic bbh-ch21
הָי֧וֹ	Qal IA · היה · III-ה · Emphatic — "surely be"; ה retained; contrast IC: הֱיוֹת	ia III-he ia-emphatic bbh-ch21
III-ה IA (רָאֹ֣ה) vs. IC (רְאוֹת)	III-ה IA ends in ה; IC ends in וֹת — the ה/וֹת distinction is the clearest III-ה IA vs. IC diagnostic	ia III-he ia-contrast bbh-ch21
מ֥וֹת	Qal IA · מות · Biconsonantal · Emphatic — most common IA in OT (49×); identical to bare IC; context distinguishes	ia biconsonantal ia-emphatic bbh-ch21
מ֥וֹת תָּמוּת	Emphatic IA construction · מות · "you shall surely die" — IA + Imperfect 2ms; death-penalty formula (Gen 2:17)	ia biconsonantal ia-emphatic bbh-ch21
שׁ֣וֹב	Qal IA · שוב · Biconsonantal · Manner — "returning"; full shureq; paired with הָל֣וֹךְ	ia biconsonantal ia-manner bbh-ch21
Biconsonantal IA = bare IC	Biconsonantal IA and IC are identical forms (מ֥וֹת, שׁ֣וֹב); context distinguishes: IA never follows a preposition	ia biconsonantal ia-contrast bbh-ch21
הָל֣וֹךְ	Qal IA · הלך · I-yod · Manner/Progressive — "going"; retains full yod-shape; contrast IC: לֶ/כֶת	ia I-yod ia-manner bbh-ch21
הָל֣וֹךְ וָ/שׁ֑וֹב	Paired IA idiom · הלך + שוב · Manner — "going and returning" (Gen 8:3); progressive/iterative motion	ia I-yod biconsonantal ia-manner bbh-ch21
