ot_ref,nt_ref,votes,ot_text,nt_text
Isaiah 41:10,Philippians 4:13,905,may not you be afraid for [am] with/ you I may not you fear for I [am] God/ your I have strengthened/ you also I have helped/ you also I have supported/ you with/ [the] right [hand] of righteousness/ my,[For] all things I have strength in the [One] strengthening me in Christ.
Isaiah 40:29,Philippians 4:13,498,[he is] giving to the/ weary [person] strength and/ to/ [those who] there not [is] power<s> strength he increases,[For] all things I have strength in the [One] strengthening me in Christ.
Isaiah 40:8,Matthew 24:35,421,it dries up grass it withers a flower and/ [the] word of God/ our it will stand for/ ever,"The heaven and the earth will pass away, <the> but the words of Mine certainly not may pass away."
Isaiah 64:4,1 Corinthians 2:9,298,and/ from/ long ago not people have heard not people have given ear eye not it has seen a God besides/ you [who] he acts for/ [one who] waits for <the>/ him,"but even as it has been written: What eye not has seen and ear not has heard and into heart of man not has entered, what has prepared <the> God for those loving Him."
Isaiah 45:24,Philippians 4:13,276,only [are] in/ Yahweh of/ me anyone will say righteousness<es> and/ strength to/ him everyone will go and/ they may be ashamed all those/ [who] are angry with/ him,[For] all things I have strength in the [One] strengthening me in Christ.
Isaiah 41:10,Hebrews 13:6,261,may not you be afraid for [am] with/ you I may not you fear for I [am] God/ your I have strengthened/ you also I have helped/ you also I have supported/ you with/ [the] right [hand] of righteousness/ my,"So are confident we to say: [The] Lord [is] my helper, and not I will be afraid; what will do to me man?"
Isaiah 43:18,2 Corinthians 5:17,249,may not you remember former [things] and/ ancient [things] may not you consider,"Therefore if anyone [is] in Christ, [he is] a new creation; The old things have passed away, behold has come into being new <the> all things."
Isaiah 55:11,Matthew 24:35,243,thus it is word/ my which it goes forth from/ mouth/ my not it will return to/ me in vain that except it has done <obj.> [that] which I desired and/ it has prospered [that] which I sent/ it,"The heaven and the earth will pass away, <the> but the words of Mine certainly not may pass away."
Isaiah 61:1,Luke 4:18,221,[the] spirit of [the] Lord Yahweh [is] on/ me because he has anointed Yahweh <obj.>/ me to/ bear news humble [people] he has sent/ me to/ bind up <to>/ [people] broken of heart to/ proclaim to/ captives liberty and/ to/ prisoners re- -lease,"[The] Spirit of [the] Lord [is] upon Me myself, of which because He has anointed Me to evangelise to [the] poor, He has sent Me to heal the bruised <the> heart to proclaim to [the] captives deliverance and to [the] blind recovery of sight, to send forth [the] oppressed in deliverance,"
Isaiah 40:30,Galatians 6:9,190,and/ they may grow weary youths so/ they may become weary and/ young men certainly <to stumble> they stumble,<the> And [in] well doing not we may grow weary; in time for due we will reap a harvest not giving up.
Isaiah 29:13,Mark 7:6,180,and/ he said [the] Lord because for it has drawn near the/ people <the>/ this with/ mouth/ its and/ with/ lips/ its they have honored/ me and/ heart/ its it has made far away from/ me and/ it has been fear/ their [of]/ me a commandment of people [which] has been taught,"<the> And answering He said to them that: Rightly prophesied Isaiah concerning you <the> hypocrites, as it has been written that This <the> people with the lips Me honors, <the> but the heart of them far away is kept from Me."
Isaiah 51:6,Matthew 24:35,176,lift up to the/ heavens eyes/ your and/ look to the/ earth <from>/ beneath for [the] heavens like <the>/ smoke they will be dispersed and/ the/ earth like <the>/ garment it will wear out and/ inhabitants/ its like gnat[s] they will die/ ! and/ salvation/ my for/ ever it will be and/ righteousness/ my not it will be broken,"The heaven and the earth will pass away, <the> but the words of Mine certainly not may pass away."
Isaiah 55:11,Hebrews 4:12,165,thus it is word/ my which it goes forth from/ mouth/ my not it will return to/ me in vain that except it has done <obj.> [that] which I desired and/ it has prospered [that] which I sent/ it,"Living [is] for the word <the> of God and active and sharper than any sword two-edged even penetrating as far as [the] division of soul then and spirit, of joints and also marrows, and able to judge [the] thoughts and intentions of [the] heart;"
Isaiah 58:11,John 7:38,164,and/ he will lead/ you Yahweh continually and/ he will satisfy in/ arid regions appetite/ your and/ bones/ your he will strengthen and/ you will be like/ a garden watered and/ like/ a spring of waters which not they will fail waters/ its,"The [one] believing in Me myself, even as has said the Scripture: Rivers out of the belly of him will flow of water living."
Isaiah 54:10,Matthew 24:35,160,that the/ mountains they will be removed and/ the/ hills they will shake and/ covenant loyalty/ my from/ with <the>/ you not it will be removed and/ [the] covenant of peace/ my not it will shake he says [one who] has compassion on/ you Yahweh,"The heaven and the earth will pass away, <the> but the words of Mine certainly not may pass away."
Isaiah 44:3,John 7:38,160,for I will pour out water on thirsty [ground] and/ streams on dry ground I will pour out spirit/ my on offspring/ your and/ blessing/ my on descendants/ your,"The [one] believing in Me myself, even as has said the Scripture: Rivers out of the belly of him will flow of water living."
Isaiah 60:1,Ephesians 5:14,150,arise shine for it has come light/ your and/ [the] glory of Yahweh on/ you it has dawned,"[14] Therefore it says: do awake you who [are] sleeping and do rise up out from the dead, and will shine upon you <the> Christ."
Isaiah 7:14,Matthew 1:23,144,<to>/ therefore he will give [the] Lord he to/ you a sign there! the/ young woman [will be] pregnant and/ [will] bear a son and/ she will call name/ his Immanu- -el,"Behold the virgin in womb [pregnancy] will have and she will bear a son, and they will call the name of Him Immanuel, which is being translated; With us <the> God."
Isaiah 40:29,2 Corinthians 12:9,141,[he is] giving to the/ weary [person] strength and/ to/ [those who] there not [is] power<s> strength he increases,"And He has said to me; Suffices you the grace of Mine; the for power of mine in weakness is finished. Most gladly therefore rather will I boast in the weaknesses of mine, so that may rest upon me myself the power <the> of Christ."
Isaiah 6:9,Mark 8:18,138,and/ he said go and/ you will say to the/ people <the>/ this hear continually <to hear> and/ may not you understand and/ see continually <to see> and/ may not you perceive,Eyes having not do you see? And ears having not do you hear? And not do you remember?
Isaiah 54:17,Romans 8:31,135,any weapon [which] it will be formed on/ you not it will succeed and/ every tongue [which] it will arise with/ you to <the>/ judgment you will condemn as guilty this [is] [the] inheritance of [the] servants of Yahweh and/ righteousness/ their from/ with/ me [the] utterance of Yahweh,"What then will we say to these things? If <the> God [is] for us, who [can be] against us?"
Isaiah 55:1,Matthew 11:28,133,alas! O every thirsty [one] come to the/ waters and/ [one] who not [belongs] to/ him money come buy grain and/ eat and/ come buy grain with/ not money and/ with/ not price wine and/ milk,"Come to Me all you who [are] toiling and burdened, and I myself will give rest to you."
Isaiah 40:31,Ephesians 6:10,132,and/ [those who] wait for <of> Yahweh they will renew strength they will go up wing[s] like <the>/ eagles they will run and/ not they will become weary they will walk and/ not they will grow weary,<the> Henceforth brothers of mine do be empowered in [the] Lord and in the strength of the might of Him.
Isaiah 66:2,Matthew 5:3,131,and/ <obj.> all these [things] hand/ my it made and/ they were all these [things] [the] utterance of Yahweh and/ to this one I will look to an afflicted [person] and/ a [person] stricken of spirit and/ a [person] trembling on word/ my,"Blessed [are] the poor in the spirit, for theirs is the kingdom of the heavens."
Isaiah 54:13,John 6:45,128,and/ all children/ your [will be] taught of Yahweh and/ [will be] great [the] peace of children/ your,It is written in the prophets: And they will be all taught <the> of God.’ Everyone therefore who having heard from the Father and having learned he comes to Me myself;
Isaiah 53:4,1 Peter 2:24,127,nevertheless sicknesses/ our he he bore and/ pains/ our he carried/ them and/ we we considered/ him stricken struck of God and/ afflicted,Who the sins of us Himself bore in the body of Him on the tree so that <the> to sins having been dead <the> to righteousness we may live; Of whom by the wounds of him you have been healed.
Isaiah 12:3,John 7:38,126,and/ you will draw water with/ joy from/ [the] springs of <the>/ salvation,"The [one] believing in Me myself, even as has said the Scripture: Rivers out of the belly of him will flow of water living."
Isaiah 42:18,Mark 8:18,125,O/ deaf [people] listen and/ O/ blind [people] look to/ see,Eyes having not do you see? And ears having not do you hear? And not do you remember?
Isaiah 53:6,1 Peter 2:25,119,all of/ us like <the>/ sheep we have gone astray each to/ own way/ his we have turned and/ Yahweh he has caused to touch <on>/ him <obj.> [the] iniquity of all of/ us,You were for like sheep going astray but you have returned now to the Shepherd and Overseer of the souls of you.
Isaiah 35:8,John 14:6,119,and/ it will be there a highway and/ a way and/ [the] way of <the>/ holiness it will be called to/ it not he will pass along/ it [the] unclean and/ it [will belong] to/ them [one who] walks a way and/ fools not they will wander about,Says to him <the> Jesus; I myself am the way and the truth and the life. No [one] comes to the Father only except through Me.
Isaiah 26:3,John 14:1,112,an inclination firm you will keep peace peace for in/ you [he is] trusting,Not should be troubled of you the heart; You believe in <the> God also in Me myself believe.
Isaiah 26:3,Philippians 4:7,112,an inclination firm you will keep peace peace for in/ you [he is] trusting,And the peace <the> of God which is surpassing all understanding will guard the hearts of you and the minds of you in Christ Jesus.
Isaiah 41:10,John 14:27,110,may not you be afraid for [am] with/ you I may not you fear for I [am] God/ your I have strengthened/ you also I have helped/ you also I have supported/ you with/ [the] right [hand] of righteousness/ my,"Peace I leave with you, peace <the> of Mine I give to you; not even as the world gives, I myself give to you. Not should be troubled of you the heart nor should it fear."
Isaiah 44:18,Mark 8:18,104,not they know and/ not they understand for it is besmeared from/ seeing eyes/ their from/ having insight hearts/ their,Eyes having not do you see? And ears having not do you hear? And not do you remember?
