ref,book,chapter,verse,hebrew,strong_h,pos,morph,stem,gloss,lxx_word,lxx_strong,kjv
Jdg 20:26,Jdg,20,26,יָּצ֥וּמוּ,H6684,verb,Vqw3mp,qal,they.fasted,ἐνήστευσαν,,"Then all the children of Israel, and all the people, went up, and came unto the house of God, and wept, and sat there before the Lord, and fasted that day until even, and offered burnt offerings and peace offerings before the Lord."
1Sa 7:6,1Sa,7,6,יָּצ֙וּמוּ֙,H6684,verb,Vqw3mp,qal,they.fasted,ἐνήστευσαν,,
1Sa 31:13,1Sa,31,13,יָּצֻ֖מוּ,H6684,verb,Vqw3mp,qal,they.fasted,νηστεύουσιν,3522,
2Sa 1:12,2Sa,1,12,יָּצֻ֖מוּ,H6684,verb,Vqw3mp,qal,they.fasted,ἐνήστευσαν,,
2Sa 12:16,2Sa,12,16,יָּ֤צָם,H6684,verb,Vqw3ms,qal,he.fasted,ἐνήστευσεν,,
2Sa 12:16,2Sa,12,16,צ֔וֹם,H6685,noun,Ncmsa,,a.fast,νηστείαν,3521,
2Sa 12:21,2Sa,12,21,צַ֣מְתָּ,H6684,verb,Vqp2ms,qal,you.fasted,ἐνήστευες,,
2Sa 12:22,2Sa,12,22,צַ֖מְתִּי,H6684,verb,Vqp1cs,qal,I.fasted,ἐνήστευσα,,
2Sa 12:23,2Sa,12,23,צָ֔ם,H6684,verb,Vqrmsa,qal,fasting,νηστεύω,3522,
1Ki 21:9,1Ki,21,9,צ֔וֹם,H6685,noun,Ncmsa,,a.fast,νηστείαν,3521,
1Ki 21:12,1Ki,21,12,צ֑וֹם,H6685,noun,Ncmsa,,a.fast,νηστείαν,3521,
1Ki 21:27,1Ki,21,27,יָּצ֑וֹם,H6684,verb,Vqw3ms,qal,he.fasted,ἐνήστευσεν,,
1Ch 10:12,1Ch,10,12,יָּצ֖וּמוּ,H6684,verb,Vqw3mp,qal,they.fasted,ἐνήστευσαν,,
2Ch 20:3,2Ch,20,3,צ֖וֹם,H6685,noun,Ncmsa,,a.fast,νηστείαν,3521,
Ezr 8:21,Ezr,8,21,צוֹם֙,H6685,noun,Ncmsa,,a.fast,νηστείαν,3521,"Then I proclaimed a fast there, at the river of Ahava, that we might afflict ourselves before our God, to seek of him a right way for us, and for our little ones, and for all our substance."
Ezr 8:23,Ezr,8,23,נָּצ֛וּמ,H6684,verb,Vqw1cp,qal,we,καὶ,2532,So we fasted and besought our God for this: and he was intreated of us.
