term,strongs,book,chapter,verse,word,morph,kjv_verse
παράκλητος,G3875,Jhn,14,16,παράκλητον,N-ASM,"And I will pray the Father, and he shall give you another Comforter, that he may abide with you for ever;"
παράκλητος,G3875,Jhn,14,26,"παράκλητος,",N-NSM,"But the Comforter, which is the Holy Ghost, whom the Father will send in my name, he shall teach you all things, and bring all things to your remembrance, whatsoever I have said unto you."
παράκλητος,G3875,Jhn,15,26,παράκλητος,N-NSM,"But when the Comforter is come, whom I will send unto you from the Father, even the Spirit of truth, which proceedeth from the Father, he shall testify of me:"
παράκλητος,G3875,Jhn,16,7,παράκλητος,N-NSM,"Nevertheless I tell you the truth; It is expedient for you that I go away: for if I go not away, the Comforter will not come unto you; but if I depart, I will send him unto you."
παράκλητος,G3875,1Jn,2,1,παράκλητον,N-ASM,"My little children, these things write I unto you, that ye sin not. And if any man sin, we have an advocate with the Father, Jesus Christ the righteous:"
παρακαλέω,G3870,Mat,2,18,παρακληθῆναι,V-APN,"In Rama was there a voice heard, lamentation, and weeping, and great mourning, Rachel weeping for her children, and would not be comforted, because they are not."
παρακαλέω,G3870,Mat,5,4,παρακληθήσονται.¶,V-FPI-3P,Blessed are they that mourn: for they shall be comforted.
παρακαλέω,G3870,Mat,8,5,παρακαλῶν,V-PAP-NSM,"And when Jesus was entered into Capernaum, there came unto him a centurion, beseeching him,"
παρακαλέω,G3870,Mat,8,31,παρεκάλουν,V-IAI-3P,"So the devils besought him, saying, If thou cast us out, suffer us to go away into the herd of swine."
παρακαλέω,G3870,Mat,8,34,παρεκάλεσαν,V-AAI-3P,"And, behold, the whole city came out to meet Jesus: and when they saw him, they besought him that he would depart out of their coasts."
παρακαλέω,G3870,Mat,14,36,παρεκάλουν,V-IAI-3P,And besought him that they might only touch the hem of his garment: and as many as touched were made perfectly whole.
παρακαλέω,G3870,Mat,18,29,παρεκάλει,V-IAI-3S,"And his fellowservant fell down at his feet, and besought him, saying, Have patience with me, and I will pay thee all."
παρακαλέω,G3870,Mat,18,32,παρεκάλεσάς,V-AAI-2S,"Then his lord, after that he had called him, said unto him, O thou wicked servant, I forgave thee all that debt, because thou desiredst me:"
παρακαλέω,G3870,Mat,26,53,παρακαλέσαι,V-AAN,"Thinkest thou that I cannot now pray to my Father, and he shall presently give me more than twelve legions of angels?"
παρακαλέω,G3870,Mrk,1,40,παρακαλῶν,V-PAP-NSM,"And there came a leper to him, beseeching him, and kneeling down to him, and saying unto him, If thou wilt, thou canst make me clean."
παρακαλέω,G3870,Mrk,5,10,παρεκάλει,V-IAI-3S,And he besought him much that he would not send them away out of the country.
παρακαλέω,G3870,Mrk,5,12,παρεκάλεσαν,V-AAI-3P,"And all the devils besought him, saying, Send us into the swine, that we may enter into them."
παρακαλέω,G3870,Mrk,5,17,παρακαλεῖν,V-PAN,And they began to pray him to depart out of their coasts.
παρακαλέω,G3870,Mrk,5,18,παρεκάλει,V-IAI-3S,"And when he was come into the ship, he that had been possessed with the devil prayed him that he might be with him."
παρακαλέω,G3870,Mrk,5,23,παρακαλεῖ,V-PAI-3S,"And besought him greatly, saying, My little daughter lieth at the point of death: I pray thee, come and lay thy hands on her, that she may be healed; and she shall live."
παρακαλέω,G3870,Mrk,6,56,παρεκάλουν,V-IAI-3P,"And whithersoever he entered, into villages, or cities, or country, they laid the sick in the streets, and besought him that they might touch if it were but the border of his garment: and as many as touched him were made whole."
παρακαλέω,G3870,Mrk,7,32,παρακαλοῦσιν,V-PAI-3P,"And they bring unto him one that was deaf, and had an impediment in his speech; and they beseech him to put his hand upon him."
παρακαλέω,G3870,Mrk,8,22,παρακαλοῦσιν,V-PAI-3P,"And he cometh to Bethsaida; and they bring a blind man unto him, and besought him to touch him."
παρακαλέω,G3870,Luk,3,18,παρακαλῶν,V-PAP-NSM,And many other things in his exhortation preached he unto the people.
