term,strongs,book,chapter,verse,word,tense,case
δέησις,G1162,Jos,18,4,δεήσει,Future,
δέησις,G1162,1Ki,8,28,δέησίν,,Accusative
δέησις,G1162,1Ki,8,30,δεήσεως,,Genitive
δέησις,G1162,1Ki,8,38,δέησιν,,Accusative
δέησις,G1162,1Ki,8,45,δεήσεως,,Genitive
δέησις,G1162,1Ki,8,52,δέησιν,,Accusative
δέησις,G1162,1Ki,8,52,δέησιν,,Accusative
δέησις,G1162,1Ki,8,54,δέησιν,,Accusative
δέησις,G1162,1Ki,9,3,δεήσεώς,,Genitive
δέησις,G1162,2Ch,6,19,δέησίν,,Accusative
δέησις,G1162,2Ch,6,19,δεήσεως,,Genitive
δέησις,G1162,2Ch,6,21,δεήσεως,,Genitive
δέησις,G1162,2Ch,6,29,δέησις,,Nominative
δέησις,G1162,2Ch,6,35,δεήσεως,,Genitive
δέησις,G1162,2Ch,6,39,δεήσεως,,Genitive
δέησις,G1162,2Ch,6,40,δέησιν,,Accusative
δέησις,G1162,Est,4,17,δεήσεώς,,Genitive
δέησις,G1162,Psa,5,3,δεήσεώς,,Genitive
δέησις,G1162,Psa,6,10,δεήσεώς,,Genitive
δέησις,G1162,Psa,16,1,δεήσει,,Dative
δέησις,G1162,Psa,21,25,δεήσει,,Dative
δέησις,G1162,Psa,27,2,δεήσεώς,,Genitive
δέησις,G1162,Psa,27,6,δεήσεώς,,Genitive
δέησις,G1162,Psa,30,23,δεήσεώς,,Genitive
δέησις,G1162,Psa,33,16,δέησιν,,Accusative
δέησις,G1162,Psa,38,13,δεήσεώς,,Genitive
δέησις,G1162,Psa,39,2,δεήσεώς,,Genitive
δέησις,G1162,Psa,54,2,δέησίν,,Accusative
δέησις,G1162,Psa,60,2,δεήσεώς,,Genitive
δέησις,G1162,Psa,65,19,δεήσεώς,,Genitive
δέησις,G1162,Psa,85,6,δεήσεώς,,Genitive
δέησις,G1162,Psa,87,3,δέησίν,,Accusative
δέησις,G1162,Psa,101,1,δέησιν,,Accusative
δέησις,G1162,Psa,101,18,δέησιν,,Accusative
δέησις,G1162,Psa,105,44,δεήσεως,,Genitive
δέησις,G1162,Psa,114,1,δεήσεώς,,Genitive
δέησις,G1162,Psa,118,169,δέησίς,,Nominative
δέησις,G1162,Psa,129,2,δεήσεώς,,Genitive
δέησις,G1162,Psa,139,7,δεήσεώς,,Genitive
δέησις,G1162,Psa,140,1,δεήσεώς,,Genitive
δέησις,G1162,Psa,141,3,δέησίν,,Accusative
δέησις,G1162,Psa,141,7,δέησίν,,Accusative
δέησις,G1162,Psa,142,1,δέησίν,,Accusative
δέησις,G1162,Psa,144,19,δεήσεως,,Genitive
δέησις,G1162,Job,8,6,δεήσεως,,Genitive
δέησις,G1162,Job,16,20,δέησις,,Nominative
δέησις,G1162,Job,27,9,δέησιν,,Accusative
δέησις,G1162,Job,36,19,δεήσεως,,Genitive
δέησις,G1162,Job,40,27,δεήσει,,Dative
δέησις,G1162,Isa,1,15,δέησιν,,Accusative
δέησις,G1162,Jer,3,21,δεήσεως,,Genitive
δέησις,G1162,Jer,11,14,δεήσει,,Dative
δέησις,G1162,Jer,14,12,δεήσεως,,Genitive
δέησις,G1162,Lam,3,56,δέησίν,,Accusative
δέησις,G1162,Dan,2,18,δέησιν,,Accusative
δέησις,G1162,Dan,4,33,δέησιν,,Accusative
δέησις,G1162,Dan,9,17,δεήσεις,,Accusative
δέησις,G1162,Dan,9,23,δεήσεώς,,Genitive
προσευχή,G4335,2Sa,7,27,προσευχὴν,,Accusative
προσευχή,G4335,1Ki,8,29,προσευχῆς,,Genitive
προσευχή,G4335,1Ki,8,38,προσευχήν,,Accusative
προσευχή,G4335,1Ki,8,45,προσευχῆς,,Genitive
προσευχή,G4335,1Ki,8,54,προσευχὴν,,Accusative
προσευχή,G4335,1Ki,9,3,προσευχῆς,,Genitive
προσευχή,G4335,1Ki,9,3,προσευχήν,,Accusative
προσευχή,G4335,2Ki,19,4,προσευχὴν,,Accusative
προσευχή,G4335,2Ki,20,5,προσευχῆς,,Genitive
προσευχή,G4335,2Ch,6,19,προσευχὴν,,Accusative
προσευχή,G4335,2Ch,6,19,προσευχῆς,,Genitive
προσευχή,G4335,2Ch,6,20,προσευχῆς,,Genitive
προσευχή,G4335,2Ch,6,29,προσευχὴ,,Nominative
προσευχή,G4335,2Ch,6,35,προσευχῆς,,Genitive
προσευχή,G4335,2Ch,6,39,προσευχῆς,,Genitive
προσευχή,G4335,2Ch,7,12,προσευχῆς,,Genitive
προσευχή,G4335,2Ch,7,15,προσευχῇ,,Dative
προσευχή,G4335,2Ch,30,27,προσευχὴ,,Nominative
προσευχή,G4335,2Ch,33,18,προσευχὴ,,Nominative
προσευχή,G4335,2Ch,33,19,προσευχῆς,,Genitive
προσευχή,G4335,Ezr,11,6,προσευχὴν,,Accusative
προσευχή,G4335,Ezr,11,11,προσευχὴν,,Accusative
προσευχή,G4335,Ezr,11,11,προσευχὴν,,Accusative
προσευχή,G4335,Psa,4,2,προσευχῆς,,Genitive
προσευχή,G4335,Psa,6,10,προσευχήν,,Accusative
προσευχή,G4335,Psa,16,1,προσευχὴ,,Nominative
προσευχή,G4335,Psa,16,1,προσευχῆς,,Genitive
προσευχή,G4335,Psa,34,13,προσευχή,,Nominative
προσευχή,G4335,Psa,38,13,προσευχῆς,,Genitive
προσευχή,G4335,Psa,41,9,προσευχὴ,,Nominative
προσευχή,G4335,Psa,53,4,προσευχῆς,,Genitive
προσευχή,G4335,Psa,54,2,προσευχὴν,,Accusative
προσευχή,G4335,Psa,60,2,προσευχῇ,,Dative
