term,strongs,book,chapter,verse,word,morph,kjv_verse
δέησις,G1162,Luk,1,13,δέησίς,N-NSF,"But the angel said unto him, Fear not, Zacharias: for thy prayer is heard; and thy wife Elisabeth shall bear thee a son, and thou shalt call his name John."
δέησις,G1162,Luk,2,37,δεήσεσιν,N-DPF,"And she was a widow of about fourscore and four years, which departed not from the temple, but served God with fastings and prayers night and day."
δέησις,G1162,Luk,5,33,δεήσεις,N-APF,"And they said unto him, Why do the disciples of John fast often, and make prayers, and likewise the disciples of the Pharisees; but thine eat and drink?"
δέησις,G1162,Act,1,14,δεήσει,N-DSF,"These all continued with one accord in prayer and supplication, with the women, and Mary the mother of Jesus, and with his brethren."
δέησις,G1162,Rom,10,1,δέησις,N-NSF,"Brethren, my heart’s desire and prayer to God for Israel is, that they might be saved."
δέησις,G1162,2Co,1,11,"δεήσει,",N-DSF,"Ye also helping together by prayer for us, that for the gift bestowed upon us by the means of many persons thanks may be given by many on our behalf."
δέησις,G1162,2Co,9,14,δεήσει,N-DSF,"And by their prayer for you, which long after you for the exceeding grace of God in you."
δέησις,G1162,Eph,6,18,δεήσεως,N-GSF,"Praying always with all prayer and supplication in the Spirit, and watching thereunto with all perseverance and supplication for all saints;"
δέησις,G1162,Eph,6,18,δεήσει,N-DSF,"Praying always with all prayer and supplication in the Spirit, and watching thereunto with all perseverance and supplication for all saints;"
δέησις,G1162,Php,1,4,δεήσει,N-DSF,"Always in every prayer of mine for you all making request with joy,"
δέησις,G1162,Php,1,4,δέησιν,N-ASF,"Always in every prayer of mine for you all making request with joy,"
δέησις,G1162,Php,1,19,δεήσεως,N-GSF,"For I know that this shall turn to my salvation through your prayer, and the supply of the Spirit of Jesus Christ,"
δέησις,G1162,Php,4,6,δεήσει,N-DSF,Be careful for nothing; but in every thing by prayer and supplication with thanksgiving let your requests be made known unto God.
δέησις,G1162,1Ti,2,1,"δεήσεις,",N-APF,"I exhort therefore, that, first of all, supplications, prayers, intercessions, and giving of thanks, be made for all men;"
