ot_ref,nt_ref,votes,ot_text,nt_text
Isaiah 53:4,1 Peter 2:24,127,nevertheless sicknesses/ our he he bore and/ pains/ our he carried/ them and/ we we considered/ him stricken struck of God and/ afflicted,Who the sins of us Himself bore in the body of Him on the tree so that <the> to sins having been dead <the> to righteousness we may live; Of whom by the wounds of him you have been healed.
Isaiah 53:6,1 Peter 2:25,119,all of/ us like <the>/ sheep we have gone astray each to/ own way/ his we have turned and/ Yahweh he has caused to touch <on>/ him <obj.> [the] iniquity of all of/ us,You were for like sheep going astray but you have returned now to the Shepherd and Overseer of the souls of you.
Isaiah 53:4,Matthew 8:17,86,nevertheless sicknesses/ our he he bore and/ pains/ our he carried/ them and/ we we considered/ him stricken struck of God and/ afflicted,so that it may be fulfilled that having been spoken through Isaiah the prophet saying; Himself the infirmities of us He took and <the> [our] diseases bore.
Isaiah 53:7,Acts 8:32,68,he was oppressed and/ he [was] afflicted and/ not he opened mouth/ his like <the>/ sheep [which] to the/ slaughter it is brought and/ like/ a ewe [which] <to>/ before shearers/ its it is dumb and/ not he opened mouth/ his,"<the> Now the passage of the Scripture which he was reading was this: As a sheep to slaughter He was led, and as a lamb before the [one who] shearing him [is] silent, so not He opens the mouth of Him."
Isaiah 53:6,Romans 5:8,67,all of/ us like <the>/ sheep we have gone astray each to/ own way/ his we have turned and/ Yahweh he has caused to touch <on>/ him <obj.> [the] iniquity of all of/ us,"Demonstrates however the His own love to us <the> God, that still sinners when being we Christ for us died."
Isaiah 53:7,John 1:29,49,he was oppressed and/ he [was] afflicted and/ not he opened mouth/ his like <the>/ sheep [which] to the/ slaughter it is brought and/ like/ a ewe [which] <to>/ before shearers/ its it is dumb and/ not he opened mouth/ his,"On the next day he sees <the> John <the> Jesus coming to him and says; Behold the Lamb <the> of God, who is taking away the sin of the world."
Isaiah 53:4,2 Corinthians 5:21,44,nevertheless sicknesses/ our he he bore and/ pains/ our he carried/ them and/ we we considered/ him stricken struck of God and/ afflicted,"The [One] for not having known sin for us sin He made, so that we ourselves may become [the] righteousness of God in Him."
Isaiah 53:10,Matthew 27:46,36,and/ Yahweh he desired to crush/ him he made [him] sick if it will make a guilt offering self/ his he will see offspring he will prolong days and/ [the] pleasure of Yahweh in/ hand/ his it will prosper,"About then the ninth hour cried out <the> Jesus in a voice loud saying; Eli Eli, lema sabachthani? That is: God of Mine God of Mine, so why Me have you forsaken?"
Isaiah 53:2,John 1:11,31,and/ he grew up like <the>/ shoot <to>/ before/ him and/ like <the>/ root from/ ground dry not form [belonged] to/ him and/ not splendor and/ we will look at/ him and/ not appearance and/ we will desire/ him,"To <the> [His] own He came, and <the> [His] own Him not received."
Isaiah 53:4,Hebrews 4:15,30,nevertheless sicknesses/ our he he bore and/ pains/ our he carried/ them and/ we we considered/ him stricken struck of God and/ afflicted,"Not for have we a high priest not being able to sympathize with the weaknesses of us, tempted however in all things by [the] same way without sin."
