book,additive,adjunctive,temporal,ascensive,correlative,adversative,explicative,other
Mat,1109,44,0,9,1,5,1,0
Mrk,1044,23,2,9,2,3,1,1
Luk,1335,83,5,23,3,3,11,2
Jhn,744,66,2,2,6,11,0,0
Act,1001,86,3,9,4,3,0,0
Rom,199,65,0,6,2,0,0,1
1Co,208,55,0,6,9,1,0,0
2Co,130,48,1,12,0,6,0,0
Gal,54,13,0,5,0,0,0,0
Eph,111,21,0,4,0,1,0,0
Php,76,22,0,7,2,0,0,0
Col,79,21,0,1,0,0,0,0
1Th,80,16,0,2,2,0,0,0
2Th,43,4,0,1,1,1,0,0
1Ti,80,9,1,1,1,0,0,0
2Ti,54,13,0,0,0,1,0,0
Tit,32,2,0,0,2,0,0,0
Phm,12,2,0,2,2,0,0,0
Heb,211,33,1,7,1,0,0,1
Jas,95,11,0,3,1,0,0,0
1Pe,54,14,0,3,0,0,0,0
2Pe,53,8,0,1,1,0,0,0
1Jn,114,12,0,2,0,1,0,0
2Jn,14,1,0,0,1,0,0,0
3Jn,11,0,0,0,0,0,0,0
Jud,18,2,0,1,0,0,0,0
Rev,1099,10,1,2,0,5,0,0
